module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M3,M3.3.2,2,"a landing light (load 24v 45 amps) is used, what is the current drawn?",205 amps,9 amps,4.5 amps,,,MEDIUM,11. A Transformer with 115v primary voltage and a ratio of 5:1 is supplying,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""11. A Transformer with 115v primary voltage and a ratio of 5:1 is supplying\na landing light (load 24v 45 amps) is used, what is the current drawn?\na) 205 amps\nb) 9 amps\nc) 4.5 amps"", ""question"": ""a landing light (load 24v 45 amps) is used, what is the current drawn?"", ""options"": [""205 amps"", ""9 amps"", ""4.5 amps""], ""correct"": null, ""answer_text"": null, ""category"": ""11. A Transformer with 115v primary voltage and a ratio of 5:1 is supplying"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,A Transformer has 4500 secondary turns and 750 primary turns. Its,1:6,6:1,1/6,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""12. A Transformer has 4500 secondary turns and 750 primary turns. Its\nturns ratio is\na) 1:6\nb) 6:1\nc) 1/6"", ""question"": ""A Transformer has 4500 secondary turns and 750 primary turns. Its"", ""options"": [""1:6"", ""6:1"", ""1/6""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,,,Two inductive coils are placed in close proximity with each other at 90,0,maximum positive,maximum negative,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""13. Two inductive coils are placed in close proximity with each other at 90\ndegrees. The number of flux linkages is\na) 0\nb) maximum positive\nc) maximum negative"", ""question"": ""Two inductive coils are placed in close proximity with each other at 90"", ""options"": [""0"", ""maximum positive"", ""maximum negative""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,,,14. A high pass filter will?,allow frequencies above a certain value to pass,allow frequencies below a certain value to pass,allow frequencies within a range to pass,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""14. A high pass filter will?\na) allow frequencies above a certain value to pass\nb) allow frequencies below a certain value to pass\nc) allow frequencies within a range to pass"", ""question"": ""14. A high pass filter will?"", ""options"": [""allow frequencies above a certain value to pass"", ""allow frequencies below a certain value to pass"", ""allow frequencies within a range to pass""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,,,"If you apply this waveform to this circuit, what is the output across the",Zero,Pulsed negative,Pulsed positive,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""15. If you apply this waveform to this circuit, what is the output across the\ncapacitor?\na) Zero\nb) Pulsed negative\nc) Pulsed positive\nPage 2\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""If you apply this waveform to this circuit, what is the output across the"", ""options"": [""Zero"", ""Pulsed negative"", ""Pulsed positive""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,,,16. What value is the same as the equivalent D.C. heating effect?,Root Mean Square,Average,Peak,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""16. What value is the same as the equivalent D.C. heating effect?\na) Root Mean Square\nb) Average\nc) Peak"", ""question"": ""16. What value is the same as the equivalent D.C. heating effect?"", ""options"": [""Root Mean Square"", ""Average"", ""Peak""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,circuit containing resistance & inductance?,Current leads voltage by up to 90°,Current lags voltage by up to 90°,Current lags voltage by 90°,,,EASY,17. What is the relationship between the voltage and the current in an A.C,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""17. What is the relationship between the voltage and the current in an A.C\ncircuit containing resistance & inductance?\na) Current leads voltage by up to 90°\nb) Current lags voltage by up to 90°\nc) Current lags voltage by 90°"", ""question"": ""circuit containing resistance & inductance?"", ""options"": [""Current leads voltage by up to 90°"", ""Current lags voltage by up to 90°"", ""Current lags voltage by 90°""], ""correct"": null, ""answer_text"": null, ""category"": ""17. What is the relationship between the voltage and the current in an A.C"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""EASY""}"
M3,M3.3.2,2,What shape is the waveform when the input pulse and the time base,Square,Rectangular,Saw tooth,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""18. What shape is the waveform when the input pulse and the time base\nare unequal?\na) Square\nb) Rectangular\nc) Saw tooth"", ""question"": ""What shape is the waveform when the input pulse and the time base"", ""options"": [""Square"", ""Rectangular"", ""Saw tooth""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,,,19. A sine wave has 5 amps RMS value. What is the peak value?,6.37 amps,7.07 amps,10 amps,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""19. A sine wave has 5 amps RMS value. What is the peak value?\na) 6.37 amps\nb) 7.07 amps\nc) 10 amps"", ""question"": ""19. A sine wave has 5 amps RMS value. What is the peak value?"", ""options"": [""6.37 amps"", ""7.07 amps"", ""10 amps""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,,,In this circuit,current leads voltage,current lags voltage,current = voltage,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""20. In this circuit\na) current leads voltage\nb) current lags voltage\nc) current = voltage"", ""question"": ""In this circuit"", ""options"": [""current leads voltage"", ""current lags voltage"", ""current = voltage""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.3.2,2,Decreasing the field current in a shunt motor will,increase speed and decrease torque,increase speed and increase torque,decrease speed and increase torque,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""21. Decreasing the field current in a shunt motor will\na) increase speed and decrease torque\nb) increase speed and increase torque\nc) decrease speed and increase torque"", ""question"": ""Decreasing the field current in a shunt motor will"", ""options"": [""increase speed and decrease torque"", ""increase speed and increase torque"", ""decrease speed and increase torque""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,Power factor relates to,true power and apparent power,KW and KVAR,horsepower and Watts,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""22. Power factor relates to\na) true power and apparent power\nb) KW and KVAR\nc) horsepower and Watts"", ""question"": ""Power factor relates to"", ""options"": [""true power and apparent power"", ""KW and KVAR"", ""horsepower and Watts""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""EASY""}"
M3,M3.1.5,,In a delta-connected generator,"line volts = phase volts, line current = root 3 times phase current.","line volts = phase volts, line current = phase current divided by root 3","line voltage = root 3 times phase voltage, line current = phase current",,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""23. In a delta-connected generator\na) line volts = phase volts, line current = root 3 times phase current.\nb) line volts = phase volts, line current = phase current divided by root 3\nc) line voltage = root 3 times phase voltage, line current = phase current\nPage 3\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""In a delta-connected generator"", ""options"": [""line volts = phase volts, line current = root 3 times phase current."", ""line volts = phase volts, line current = phase current divided by root 3"", ""line voltage = root 3 times phase voltage, line current = phase current""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.1.5"", ""level"": null, ""difficulty"": ""EASY""}"
M3,,,"If current lags voltage by 90°, the circuit is",capacitive,resistive,inductive,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""24. If current lags voltage by 90°, the circuit is\na) capacitive\nb) resistive\nc) inductive"", ""question"": ""If current lags voltage by 90°, the circuit is"", ""options"": [""capacitive"", ""resistive"", ""inductive""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,,,"In a 3 phase motor, if 1 phase is lost, the motor",remains at the same speed,runs at 1 third speed,runs at 2 thirds speed,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""25. In a 3 phase motor, if 1 phase is lost, the motor\na) remains at the same speed\nb) runs at 1 third speed\nc) runs at 2 thirds speed"", ""question"": ""In a 3 phase motor, if 1 phase is lost, the motor"", ""options"": [""remains at the same speed"", ""runs at 1 third speed"", ""runs at 2 thirds speed""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,,,A three-phase motor has the windings,120° apart,90° apart,180°apart,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""26. A three-phase motor has the windings\na) 120° apart\nb) 90° apart\nc) 180°apart"", ""question"": ""A three-phase motor has the windings"", ""options"": [""120° apart"", ""90° apart"", ""180°apart""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.3.2,2,found that line and phase voltages were equal. The generator is?,delta wound,star wound.,either delta or star wound,,,MEDIUM,"27. When measuring the phase and line voltages of a generator, it was",,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""27. When measuring the phase and line voltages of a generator, it was\nfound that line and phase voltages were equal. The generator is?\na) delta wound\nb) star wound.\nc) either delta or star wound"", ""question"": ""found that line and phase voltages were equal. The generator is?"", ""options"": [""delta wound"", ""star wound."", ""either delta or star wound""], ""correct"": null, ""answer_text"": null, ""category"": ""27. When measuring the phase and line voltages of a generator, it was"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,,,To change the direction of a 3-phase induction motor you would,swap two of the stator connections,swap all of the input connections,remove one of the input connections,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""28. To change the direction of a 3-phase induction motor you would\na) swap two of the stator connections\nb) swap all of the input connections\nc) remove one of the input connections"", ""question"": ""To change the direction of a 3-phase induction motor you would"", ""options"": [""swap two of the stator connections"", ""swap all of the input connections"", ""remove one of the input connections""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,To calculate generator output you need to know the,armature speed and number of series conductors,armature speed and number of parallel conductors,armature speed and field strength,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""29. To calculate generator output you need to know the\na) armature speed and number of series conductors\nb) armature speed and number of parallel conductors\nc) armature speed and field strength"", ""question"": ""To calculate generator output you need to know the"", ""options"": [""armature speed and number of series conductors"", ""armature speed and number of parallel conductors"", ""armature speed and field strength""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,"In a shunt motor, if you reverse both field current and armature current,",stop,change direction,continue to run in the same direction,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""30. In a shunt motor, if you reverse both field current and armature current,\nthe motor will\na) stop\nb) change direction\nc) continue to run in the same direction"", ""question"": ""In a shunt motor, if you reverse both field current and armature current,"", ""options"": [""stop"", ""change direction"", ""continue to run in the same direction""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,,,The permanent magnet in an A.C generator induces,A.C. in the exitor generator,D.C. in the exitor generator,A.C. in the main generator,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""31. The permanent magnet in an A.C generator induces\na) A.C. in the exitor generator\nb) D.C. in the exitor generator\nc) A.C. in the main generator"", ""question"": ""The permanent magnet in an A.C generator induces"", ""options"": [""A.C. in the exitor generator"", ""D.C. in the exitor generator"", ""A.C. in the main generator""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.1.5,,32. What charge does the nucleus of an atom possess?,Positive,Negative,Neutral,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""32. What charge does the nucleus of an atom possess?\na) Positive\nb) Negative\nc) Neutral\nPage 4\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""32. What charge does the nucleus of an atom possess?"", ""options"": [""Positive"", ""Negative"", ""Neutral""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.1.5"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M3,,,33. What does the following circuit represent?,Integrator,Low pass filter,Differentiator,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""33. What does the following circuit represent?\na) Integrator\nb) Low pass filter\nc) Differentiator"", ""question"": ""33. What does the following circuit represent?"", ""options"": [""Integrator"", ""Low pass filter"", ""Differentiator""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,,,34. What is the maximum number of electrons in shell N of an atom?,16,32,18,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""34. What is the maximum number of electrons in shell N of an atom?\na) 16\nb) 32\nc) 18"", ""question"": ""34. What is the maximum number of electrons in shell N of an atom?"", ""options"": [""16"", ""32"", ""18""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.03.03,,voltage begins to decay?,20 hours,4 hours,40 hours,,,EASY,"35. Two 10V, 20 Ah batteries are connected in parallel and connected",,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""35. Two 10V, 20 Ah batteries are connected in parallel and connected\nacross a 10-ohm load. How long could they supply normal current before the\nvoltage begins to decay?\na) 20 hours\nb) 4 hours\nc) 40 hours"", ""question"": ""voltage begins to decay?"", ""options"": [""20 hours"", ""4 hours"", ""40 hours""], ""correct"": null, ""answer_text"": null, ""category"": ""35. Two 10V, 20 Ah batteries are connected in parallel and connected"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.03.03"", ""level"": null, ""difficulty"": ""EASY""}"
