module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M2,M2.2.3(a),,What causes surface tension in liquids?,Increased pressure,Decreased temperature,Closely packed molecules,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""11. What causes surface tension in liquids?\n   - a) Increased pressure\n   - b) Decreased temperature\n   - c) *Closely packed molecules*"", ""question"": ""What causes surface tension in liquids?"", ""options"": [""Increased pressure"", ""Decreased temperature"", ""Closely packed molecules""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.2.3(a)"", ""level"": null, ""difficulty"": ""EASY""}"
M2,M2.02.01,,Which state of matter contains molecules with the most energy and movement?,Solid,Liquid,Gas,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""12. Which state of matter contains molecules with the most energy and movement?\n   - a) Solid\n   - b) Liquid\n   - c) *Gas*"", ""question"": ""Which state of matter contains molecules with the most energy and movement?"", ""options"": [""Solid"", ""Liquid"", ""Gas""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,,,What is the pressure exerted by the vapor above a liquid in a closed container called?,Atmospheric pressure,Surface tension,Vapor pressure,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""13. What is the pressure exerted by the vapor above a liquid in a closed container called?\n   - a) Atmospheric pressure\n   - b) Surface tension\n   - c) *Vapor pressure*"", ""question"": ""What is the pressure exerted by the vapor above a liquid in a closed container called?"", ""options"": [""Atmospheric pressure"", ""Surface tension"", ""Vapor pressure""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,Which state of matter has molecules that take the shape of their container?,Solid,Liquid,Gas,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""15. Which state of matter has molecules that take the shape of their container?\n   - a) Solid\n   - b) *Liquid*\n   - c) Gas"", ""question"": ""Which state of matter has molecules that take the shape of their container?"", ""options"": [""Solid"", ""Liquid"", ""Gas""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,,,What type of substance is a two-part epoxy mix?,Catalyst,Catalyst,Inhibitor,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""16. What type of substance is a two-part epoxy mix?\n   - a) Catalyst\n   - b) *Catalyst*\n   - c) Inhibitor"", ""question"": ""What type of substance is a two-part epoxy mix?"", ""options"": [""Catalyst"", ""Catalyst"", ""Inhibitor""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""difficulty"": ""EASY""}"
M2,M2.02.01,,What is the primary state of matter of concern for aviation maintenance professionals?,Plasma,Gas,Solid,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""18. What is the primary state of matter of concern for aviation maintenance professionals?\n   - a) Plasma\n   - b) Gas\n   - c) *Solid*"", ""question"": ""What is the primary state of matter of concern for aviation maintenance professionals?"", ""options"": [""Plasma"", ""Gas"", ""Solid""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,,,What is a substance that causes or accelerates a chemical reaction without itself being affected?,Catalyst,Inhibitor,Reactant,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""20. What is a substance that causes or accelerates a chemical reaction without itself being affected?\n   - a) *Catalyst*\n   - b) Inhibitor\n   - c) Reactant"", ""question"": ""What is a substance that causes or accelerates a chemical reaction without itself being affected?"", ""options"": [""Catalyst"", ""Inhibitor"", ""Reactant""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,What is the state of matter comprised of ionized gas with positive ions and free electrons?,Solid,Liquid,Plasma,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""21. What is the state of matter comprised of ionized gas with positive ions and free electrons?\n   - a) Solid\n   - b) Liquid\n   - c) *Plasma*"", ""question"": ""What is the state of matter comprised of ionized gas with positive ions and free electrons?"", ""options"": [""Solid"", ""Liquid"", ""Plasma""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.03,,What type of substance has molecules with increased movement but still closely packed enough to create surface tension?,Solid,Liquid,Gas,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""22. What type of substance has molecules with increased movement but still closely packed enough to create surface tension?\n   - a) Solid\n   - b) *Liquid*\n   - c) Gas"", ""question"": ""What type of substance has molecules with increased movement but still closely packed enough to create surface tension?"", ""options"": [""Solid"", ""Liquid"", ""Gas""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.2.3(a),,What term is used to describe the temperature at which a vapor condenses into a liquid?,Boiling point,Freezing point,Condensation point,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""23. What term is used to describe the temperature at which a vapor condenses into a liquid?\n   - a) Boiling point\n   - b) Freezing point\n   - c) *Condensation point*"", ""question"": ""What term is used to describe the temperature at which a vapor condenses into a liquid?"", ""options"": [""Boiling point"", ""Freezing point"", ""Condensation point""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.2.3(a)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,Which state of matter is incompressible?,Solid,Liquid,Gas,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""25. Which state of matter is incompressible?\n   - a) *Solid*\n   - b) Liquid\n   - c) Gas"", ""question"": ""Which state of matter is incompressible?"", ""options"": [""Solid"", ""Liquid"", ""Gas""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""EASY""}"
M2,M2.02.03,,What type of substance has molecules that resist changing shape or volume?,Liquid,Gas,Solid,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""26. What type of substance has molecules that resist changing shape or volume?\n   - a) Liquid\n   - b) Gas\n   - c) *Solid*"", ""question"": ""What type of substance has molecules that resist changing shape or volume?"", ""options"": [""Liquid"", ""Gas"", ""Solid""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,,,What causes a substance to change between states?,Chemical composition,Volume,Adding or removing energy,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""27. What causes a substance to change between states?\n   - a) Chemical composition\n   - b) Volume\n   - c) *Adding or removing energy*"", ""question"": ""What causes a substance to change between states?"", ""options"": [""Chemical composition"", ""Volume"", ""Adding or removing energy""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""difficulty"": ""EASY""}"
M2,M2.2.3(a),,What is the pressure of the vapor that exists above a liquid in an enclosed container at a given temperature called?,Atmospheric pressure,Surface tension,Vapor pressure,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""28. What is the pressure of the vapor that exists above a liquid in an enclosed container at a given temperature called?\n   - a) Atmospheric pressure\n   - b) Surface tension\n   - c) *Vapor pressure*"", ""question"": ""What is the pressure of the vapor that exists above a liquid in an enclosed container at a given temperature called?"", ""options"": [""Atmospheric pressure"", ""Surface tension"", ""Vapor pressure""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.2.3(a)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,What type of matter is sustained easily at extremely high temperatures and is the most common form of matter in the universe?,Liquid,Solid,Plasma,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""30. What type of matter is sustained easily at extremely high temperatures and is the most common form of matter in the universe?\n   - a) Liquid\n   - b) Solid\n   - c) *Plasma*"", ""question"": ""What type of matter is sustained easily at extremely high temperatures and is the most common form of matter in the universe?"", ""options"": [""Liquid"", ""Solid"", ""Plasma""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,Which are the 3 states of matter? 10. Objects characterized by their resistance to,"liquid, solids, plasma deformation and changes to volume are;","liquid, solids, plasma A. Solids and liquids","liquid, solids, plasma B. Solids only",Gases and liquids,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""1. Which are the 3 states of matter? 10. Objects characterized by their resistance to\nA. liquid, solids, plasma deformation and changes to volume are;\nB. liquid, solids, plasma A. Solids and liquids\nC. liquid, solids, plasma B. Solids only\nC. Gases and liquids"", ""question"": ""Which are the 3 states of matter? 10. Objects characterized by their resistance to"", ""options"": [""liquid, solids, plasma deformation and changes to volume are;"", ""liquid, solids, plasma A. Solids and liquids"", ""liquid, solids, plasma B. Solids only"", ""Gases and liquids""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.05,,Which of the following is not true about 11. Which of these describes the kinetic particle,"They are packed closely together A. Particles in solids, liquids and",They do not have fixed positions in gases have different amounts of,"When force is applied, its lattice B. They are arranged differently and",All the above,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""2. Which of the following is not true about 11. Which of these describes the kinetic particle\nsolids? theory?\nA. They are packed closely together A. Particles in solids, liquids and\nB. They do not have fixed positions in gases have different amounts of\nspace to each other energy.\nC. When force is applied, its lattice B. They are arranged differently and\nstructure is disrupted. move in different ways\nC. All the above"", ""question"": ""Which of the following is not true about 11. Which of these describes the kinetic particle"", ""options"": [""They are packed closely together A. Particles in solids, liquids and"", ""They do not have fixed positions in gases have different amounts of"", ""When force is applied, its lattice B. They are arranged differently and"", ""All the above""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.05"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.05,,A liquid’s shape is ………. to the container,Contained called ………,Conformed A. Particle motion,Confined B. Brownian motion,Molecular motion,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""3. A liquid’s shape is ………. to the container\nit fills. 12. The random motion of fluid particles is\nA. Contained called ………\nB. Conformed A. Particle motion\nC. Confined B. Brownian motion\nC. Molecular motion"", ""question"": ""A liquid’s shape is ………. to the container"", ""options"": [""Contained called ………"", ""Conformed A. Particle motion"", ""Confined B. Brownian motion"", ""Molecular motion""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.05"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,,,atoms or molecules without a definite shape 13. Which of these is true about liquids?,Gases container,Solids B. It can be compressed,Liquids C. They cannot move freely,,,MEDIUM,4. Which of the states consist of freely moving,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""4. Which of the states consist of freely moving\natoms or molecules without a definite shape 13. Which of these is true about liquids?\nor volume? A. It takes up the shape of its\nA. Gases container\nB. Solids B. It can be compressed\nC. Liquids C. They cannot move freely"", ""question"": ""atoms or molecules without a definite shape 13. Which of these is true about liquids?"", ""options"": [""Gases container"", ""Solids B. It can be compressed"", ""Liquids C. They cannot move freely""], ""correct"": null, ""answer_text"": null, ""category"": ""4. Which of the states consist of freely moving"", ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""difficulty"": ""MEDIUM""}"
M2,M2.02.03,,5. Which state satisfies the ideal gas law? 14. Which of the following can buckle?,Solids A. Railway line,Gases B. Ice cubes,Liquids C. Chairs,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""5. Which state satisfies the ideal gas law? 14. Which of the following can buckle?\nA. Solids A. Railway line\nB. Gases B. Ice cubes\nC. Liquids C. Chairs"", ""question"": ""5. Which state satisfies the ideal gas law? 14. Which of the following can buckle?"", ""options"": [""Solids A. Railway line"", ""Gases B. Ice cubes"", ""Liquids C. Chairs""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.2.3(a),,Which statement is true about plasma? 15. Increase in temperature of gases confined in,It is an ionic gas a fixed volume results in ………..,It has one or more free electrons A. Increased Volume.,They are formed by heating liquids B. Decreased pressure and volume.,Increased Pressure,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""6. Which statement is true about plasma? 15. Increase in temperature of gases confined in\nA. It is an ionic gas a fixed volume results in ………..\nB. It has one or more free electrons A. Increased Volume.\nC. They are formed by heating liquids B. Decreased pressure and volume.\nC. Increased Pressure"", ""question"": ""Which statement is true about plasma? 15. Increase in temperature of gases confined in"", ""options"": [""It is an ionic gas a fixed volume results in ……….."", ""It has one or more free electrons A. Increased Volume."", ""They are formed by heating liquids B. Decreased pressure and volume."", ""Increased Pressure""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.2.3(a)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.03,,Change of state from solid to gas is called,Deposition A. Ionic Gas,Sublimation B. Ionized Gas,Evaporation C. Gas,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""7. Change of state from solid to gas is called\n……… 16. Plasma can be classified as ………….\nA. Deposition A. Ionic Gas\nB. Sublimation B. Ionized Gas\nC. Evaporation C. Gas"", ""question"": ""Change of state from solid to gas is called"", ""options"": [""Deposition A. Ionic Gas"", ""Sublimation B. Ionized Gas"", ""Evaporation C. Gas""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""EASY""}"
M2,M2.02.03,,Evaporation leads to gas as deposition leads,Plasma directions is called …………….,Liquids A. Lattice spacing,Solids B. Lattice Parameter,Lattice Energy,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""8. Evaporation leads to gas as deposition leads\nto ………. 17. The spacing between unit cells in various\nA. Plasma directions is called …………….\nB. Liquids A. Lattice spacing\nC. Solids B. Lattice Parameter\nC. Lattice Energy"", ""question"": ""Evaporation leads to gas as deposition leads"", ""options"": [""Plasma directions is called ……………."", ""Liquids A. Lattice spacing"", ""Solids B. Lattice Parameter"", ""Lattice Energy""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.03,,I maintain my shape and do not move 26. Is there a distinction between mass and weight,Solid,Liquid,Gas,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf,"{""raw"": ""18. I maintain my shape and do not move 26. Is there a distinction between mass and weight\nfreely. What am I? of a particular body?\nA. Solid\nOption A Yes\nB. Liquid\nOption B No\nC. Gas\nOption C Partially"", ""question"": ""I maintain my shape and do not move 26. Is there a distinction between mass and weight"", ""options"": [""Solid"", ""Liquid"", ""Gas""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET ACADEMY MODULE 02 QUESTINS BANK BySFoS 2.pdf"", ""source_module"": ""M2"", ""fmt"": ""pdf"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
